date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:19	5277/5277	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202015%2003:49:46%20GMT	http://www.bobsrehabcentre.com/assets/img/logo.png	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/logo.png	(from http://www.bobsrehabcentre.com/assets/css/style.css)
16:43:23	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2022%20Nov%202015%2003:49:45%20GMT	http://www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/glyphicons-halflings-regular.ttf	(from http://www.bobsrehabcentre.com/assets/css/bootstrap.css)
16:43:25	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Nov%202015%2003:49:43%20GMT	http://www.bobsrehabcentre.com/assets/fonts/fontawesome-webfont.eot?v=4.0.3	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/fontawesome-webfontba72.eot	(from http://www.bobsrehabcentre.com/assets/css/font-awesome.min.css)
16:43:26	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Nov%202015%2003:49:43%20GMT	http://www.bobsrehabcentre.com/assets/fonts/fontawesome-webfont.eot?	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/fontawesome-webfontd41d.eot	(from http://www.bobsrehabcentre.com/assets/css/font-awesome.min.css)
16:43:27	202148/202148	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2022%20Nov%202015%2003:49:44%20GMT	http://www.bobsrehabcentre.com/assets/fonts/fontawesome-webfont.svg?v=4.0.3	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/fontawesome-webfontba72.svg	(from http://www.bobsrehabcentre.com/assets/css/font-awesome.min.css)
16:43:32	44432/44432	---M--	200	added ('OK')	font/woff	date:Sun,%2022%20Nov%202015%2003:49:44%20GMT	http://www.bobsrehabcentre.com/assets/fonts/fontawesome-webfont.woff?v=4.0.3	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/fontawesome-webfontba72.woff	(from http://www.bobsrehabcentre.com/assets/css/font-awesome.min.css)
16:43:32	6514/6514	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2021:49:24%20GMT	http://www.bobsrehabcentre.com/about-chinese.html	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/about-chinese.html	(from http://www.bobsrehabcentre.com/index-chinese.html)
16:43:32	7711/7711	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2021:49:23%20GMT	http://www.bobsrehabcentre.com/special.html	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/special.html	(from http://www.bobsrehabcentre.com/index-chinese.html)
16:43:33	7039/7039	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2021:49:23%20GMT	http://www.bobsrehabcentre.com/services-chinese.html	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/services-chinese.html	(from http://www.bobsrehabcentre.com/index-chinese.html)
16:43:39	69156/69156	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:45%20GMT	http://www.bobsrehabcentre.com/assets/img/about.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/about.jpg	(from http://www.bobsrehabcentre.com/about.html)
16:43:40	80652/80652	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2022%20Nov%202015%2003:49:44%20GMT	http://www.bobsrehabcentre.com/assets/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/fonts/fontawesome-webfontba72.ttf	(from http://www.bobsrehabcentre.com/assets/css/font-awesome.min.css)
16:43:48	94869/94869	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:50%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/acupuncture01.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/acupuncture01.jpg	(from http://www.bobsrehabcentre.com/acupuncture.html)
16:43:50	65712/65712	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:51%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/acupuncture03.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/acupuncture03.jpg	(from http://www.bobsrehabcentre.com/acupuncture.html)
16:43:58	112897/112897	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:55%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/tuina01.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/tuina01.jpg	(from http://www.bobsrehabcentre.com/tuina.html)
16:44:07	292159/292159	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:46%20GMT	http://www.bobsrehabcentre.com/assets/img/home-bg.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/home-bg.jpg	(from http://www.bobsrehabcentre.com/assets/css/style.css)
16:44:19	178414/178414	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:52%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/chm01.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/chm01.jpg	(from http://www.bobsrehabcentre.com/chm.html)
16:44:21	202155/202155	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:55%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/tuina02.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/tuina02.jpg	(from http://www.bobsrehabcentre.com/tuina.html)
16:44:22	146553/146553	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:52%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/chm02.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/chm02.jpg	(from http://www.bobsrehabcentre.com/chm.html)
16:44:30	141851/141851	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:52%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/chm03.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/chm03.jpg	(from http://www.bobsrehabcentre.com/chm.html)
16:44:36	106899/106899	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:49%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/acupressure01.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/acupressure01.jpg	(from http://www.bobsrehabcentre.com/acupressure.html)
16:44:39	102565/102565	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:54%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/guasha01.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/guasha01.jpg	(from http://www.bobsrehabcentre.com/guasha.html)
16:44:45	92056/92056	---M--	200	added ('OK')	image/jpeg	date:Sun,%2022%20Nov%202015%2003:49:54%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/guasha02.jpg	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/guasha02.jpg	(from http://www.bobsrehabcentre.com/guasha.html)
